polarity;tweet
0;RT carlossielop angelamrobledo Ojal salga de la crcel est injustamente privado de la libertad En cambio hay varios de los buenos cr
-1;RT MoVidaCol En Colombia el MinDefensa CarlosHolmesTru an nos debe explicaciones por el asesinato de 14 personas a manos de agentes de
-1;RT MoVidaCol En Colombia el MinDefensa CarlosHolmesTru an nos debe explicaciones por el asesinato de 14 personas a manos de agentes de
1;Diganme que si Enamoraditos auracristinageithner lapotradelabanda actresslife
1;Ponte tus lentes mgicos de la felicidad pinta tu futuro de los colores del bienestar y notars que el sinsabor de
0;La Red de Centros Sociales de la CPAL te invita al Anlisis mensual de la realidad de Amrica Latina y El Caribe
1;Internacional Armenia y Azerbaiyan firman acuerdo para poner fin a la guerra DiarioDeChiapas
-1;LoMsVistoEnRedes Colombia Mujer Nia LadronesEl evento sucedi en Colombia y muestra cmo la mujer confronta
-1;RT ElPitazoTV Colombia Conoce quin es la empresaria bogotana de 47 aos de edad que aparece en negocios de lex Saab presunto testaf
-1;RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e
-1;Paramilitares en Colombia amenazan la libertad de libre circulacin de las comunidades indgenas embera ddhh
1;RT FabioASays Excelente la conversacion con la senadora PaolaHolguin una grande del Uribismo en Colombia gracias senadora 3324 pers
0;RT PaisajeCol Nia Kogi de la Sierra Nevada de Santa MartaColombia
-1;RT camiloaristy6 bettycriticonaa ElPatriota El narcotrafico el peor mal d Colombia d ah se alimenta las guerrillas y la poltica
1;Diganme que si Enamoraditos auracristinageithner lapotradelabanda actresslife
1;ReviewEnergy le da una enorme felicitacin a EnergyNeu quien se destac como una de las 100 mejores startups de C
-1;RT CarlosZambrano7 ULTIMAHORAA todos los comunistas que viven y se quejan de EEUU Espaa UE Colombia Chile cambio mi casa y mi sue
-1;RT GacetaCarabobo DanielRiosVE Juzgado de Colombia orden a la alcaldesa de Bogot Claudia Lpez borrar publicaciones contra los ven
0;RT EnjambreT Para el prximo proyecto de nuestro grupo de teatro necesitamos relatos sobre tropeles as que escrbanos que recuerdos tie
0;RT PaisajeCol Nia Kogi de la Sierra Nevada de Santa MartaColombia
-1;RT ChalecosAmarill En Colombia Bueno ya lo dijo abiertamente el SubPresidente Ivn Duque Matarife
-1;RT ChalecosAmarill En Bolivia ayer para el NARCODICTADOR de Colombia no fue un gran da La misma suerte que tu Mentor el Matarif
-1;RT ecotalvora diplomacia chavista canciller d Maduro introduce a sus empleados a palacio presidencial en LaPaz Bolivia para gritarl
0;RT PaisajeCol Nia Kogi de la Sierra Nevada de Santa MartaColombia
-1;RT GermanvalenCT Es cierto somos una vergenza internacional Pero siendo preciso lo somos por su padre quien vendi el pas al me
-1;RT GermanvalenCT Es cierto somos una vergenza internacional Pero siendo preciso lo somos por su padre quien vendi el pas al me
1;RT elmundodeapolo QUE PASEN UNA BUENA NOCHE AMIGOS PERRUNOS noche dormir sueo tranquilidad descanso pastorale
-1;latropadelche edhcuba CuervoNica CIPICuba RedComunismo ChilenosConCuba siempreconcuba Montesinos2010
1;Medias de diseos y colores para toda la familia en Colombia Bogota Medellin Boyaca
-1;RT ChalecosAmarill En Bolivia ayer para el NARCODICTADOR de Colombia no fue un gran da La misma suerte que tu Mentor el Matarif
-1;RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e
0;RT VQVFutbol El arquero de Rentistas Yonatan Irrazabal cont en VQV como se enter de la convocatoria de Oscar Tabrez para los par
-1;RT DanielRiosVE Juzgado de Colombia orden a la alcaldesa de Bogot Claudia Lpez borrar publicaciones contra los venezolanos que fu
-1;RT MoVidaCol En Colombia el MinDefensa CarlosHolmesTru an nos debe explicaciones por el asesinato de 14 personas a manos de agentes de
1;Los mejores sets para caballeros los tienes en Colombia Cali Medellin Bogota
0;El arquero de Rentistas Yonatan Irrazabal cont en VQV como se enter de la convocatoria de Oscar Tabrez para
-1;RT PanAmPostes Aunque faltan ocho meses para elegir la nueva directiva del Senado de Colombia la pugna entre los partidos ya comenz
1;Grupo de WhatsApp pelculas series Divirtete con pelculas anime msica etc Amistad amigos Colombia
0;RT YosefUribe Como no admirar al Uribe NorteAmericano realDonaldTrump
-1;OFICIAL URGENTEQUITAN PENSILVANIA A BIDENPIERDE LOS 20 puntos a travs de YouTube
-1;RT MoVidaCol En Colombia el MinDefensa CarlosHolmesTru an nos debe explicaciones por el asesinato de 14 personas a manos de agentes de
0;Aunque faltan ocho meses para elegir la nueva directiva del Senado de Colombia la pugna entre los partidos ya com
-1;RT biosierra Entre 2011 a 2019 la Deforestacin en Colombia alcanz un total de 1477848 hectreas lo que equivale a 8867 millones
1;RT cienciainfusa La impresionante belleza de Cao Cristales en Colombia tambin llamado el ro de los siete colores se debe a la vege
1;Corbatas para todos gustos te mantiene siempre elegante Colombia Cali Medellin
1;RT mundociclistico VFemenina2020 La VICTORIA de Yeny Lorena Colmenares en la 3a etapa de la Vuelta a Colombia Femenina
-1;Declaracin de renta empezar en febrero Noticias lavibrante AEstahora Leer ms colombia destacada
-1;RT cimanewsdigital Ccuta Las lluvias tambin han afectado parte de Colombia El fin de semana se viraliz un video del momento en
0;RT YosefUribe Como no admirar al Uribe NorteAmericano realDonaldTrump
-1;RT biosierra Entre 2011 a 2019 la Deforestacin en Colombia alcanz un total de 1477848 hectreas lo que equivale a 8867 millones
-1;RT cimanewsdigital Ccuta Las lluvias tambin han afectado parte de Colombia El fin de semana se viraliz un video del momento en
0;RT YosefUribe Como no admirar al Uribe NorteAmericano realDonaldTrump
0;Sujetadores de Camisa Shirt Stays en Colombia Colombia Bogot CaliCo Medellin Pasto
0;RT YosefUribe Como no admirar al Uribe NorteAmericano realDonaldTrump
-1;RT JoseRozoL Colombia Juez exige a Claudia Lpez borrar publicaciones sobre venezolanos y disculpas pblicas
-1;Chihuahua Dos motociclistas acribillan a dos hombres dejando a uno sin vida AdrianaRuiz
-1;RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e
-1;RT MoVidaCol En Colombia el MinDefensa CarlosHolmesTru an nos debe explicaciones por el asesinato de 14 personas a manos de agentes de
1;RT Technogeekla Muy fcil ganarse este espectacular DeathAdder EssentialSolo sigue el enlace Sorteo Colombia
-1;RT Soyquintopoder Nacional Pas Colombia QuintoPoder Direct TV tendr que pagar unos 400 millones de pesos en multa a la Superinten
0;RT PaisajeCol Nia Kogi de la Sierra Nevada de Santa MartaColombia
-1;RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e
-1;RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e
-1;RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e
-1;RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e
0;RT Observacom Colombia Empresas de telecomunicaciones piden a OCDE que inste al gobierno a actuar frente al monopolio de Claro https
-1;RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e
-1;RT CapitanDavidEJC El da en que Mit ardi por el fuego de FarcHoy hace 22 aos ms de mil terroristas Farc atacaron Mit Vaups
-1;James Rodrguez ha venido de ms a menos esta campaa Colombia
-1;RT EdierSaavedra DanielSamperO Pero que sea de los campesinos colombianosNada de papa importada Ahora necesitamos entre todos apoy
0;RT PaisajeCol Nia Kogi de la Sierra Nevada de Santa MartaColombia
0;RT ChalecosAmarill En Colombia Bueno ya lo dijo abiertamente el SubPresidente Ivn Duque Matarife
1;RT NoticiasA1com Mariah Carey unido Demi Lovato y Sara Bareilles celebran 9denoviembre biden colombia eeuu
-1;Falla Moderada de internet en curso ETB en Colombia desde las 0925 PM por una hora afectando Bogot Ma
1;RT NoticiasA1com DOBLAN MEDIDAS Colombia estudia restricciones a ciudadanos de Espaa y otros 6 pases vuel
-1;RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e
-1;RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e
-1;RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e
-1;RT carlosa50084674 PedroKonductaz pronto LA PESADILLAliliantintori har su trabajo en Chile Ecuador Brasil Colombia https
0;RT CesedUniandes Cmo afectan los resultados de las eleccionesUSA2020 a Colombia y a la poltica de drogas Los invitamos el 11 de nov
1;RT VicenteTaianoEC No toleraremos actos de violencia e irrespeto a la autoridad agradecemos el accionar de la PoliciaEcuador que nos a
1;RT ASCUN1 Felicitamos al Dr Pablo Vera Salazar nuevo rector de Unimagdalena ASCUN EducacinSuperior Educacin Colombia Univer
-1;Despide este lunes con El Bitcoin y el dinero mgico a las 1100pm en Radio Datoeconomia Entra aqu
0;RT actualicese Cuando uno se da cuenta que todo es muy diferente a lo que ve en la universidad HumorConActualcese Actu
-1;Ex senadora Piedad Crdoba nos cuenta como se fragu el golpe de estado contra Bolivia a travs de Colombia
0;COLOMBIA Juez orden a ClaudiaLopez retractarse sobre declaraciones recientes contra venezolanos
0;RT FabioASays Excelente la conversacion con la senadora PaolaHolguin una grande del Uribismo en Colombia gracias senadora 3324 pers
-1;Violencia Disparan y golpean a periodistas y manifestantes en Cancn entre ellos un reportero de Quadratn Qui
-1;RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e
-1;VickyDavilaH La seora e incendiaria VickyDavilaH no sabe que decir en las redes sociales la gran mayora en
-1;RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e
-1;RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e
-1;Nada ms vacancia violencia
-1;RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e
-1;RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e
-1;RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e
0;RT PaisajeCol Nia Kogi de la Sierra Nevada de Santa MartaColombia
-1;RT carlosa50084674 PedroKonductaz pronto LA PESADILLAliliantintori har su trabajo en Chile Ecuador Brasil Colombia
-1;RT ElPitazoTV Colombia Conoce quin es la empresaria bogotana de 47 aos de edad que aparece en negocios de lex Saab presunto testaf
-1;Texto Una puta llamada democracia Escrito por Jernimo Villa Todos los derechos reservados escritura
-1;RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e
1;titere de cuerdas sueltas IvanDuque O Colombia cambia o lo cambian Se le acab el reinado a AlvaroUribeVel e
1;RT COLEJERCITO Somos un Ejrcito comprometido con todas las regiones de Colombia En esta edicin de nuestra RevistaEjrcito conozca l
1;RT ElPitazoTV La empresaria Adriana Martnez de 47 aos de edad es duea de Vram Holding SA una pequea firma que ha sido sometida a
-1;RT ElPitazoTV Colombia Conoce quin es la empresaria bogotana de 47 aos de edad que aparece en negocios de lex Saab presunto testaf
-1;RT ElPitazoTV Colombia Conoce quin es la empresaria bogotana de 47 aos de edad que aparece en negocios de lex Saab presunto testaf
-1;RT ElPitazoTV Colombia Conoce quin es la empresaria bogotana de 47 aos de edad que aparece en negocios de lex Saab presunto testaf
-1;RT carlosa50084674 PedroKonductaz pronto LA PESADILLAliliantintori har su trabajo en Chile Ecuador Brasil Colombia
-1;RT ElPitazoTV Colombia Conoce quin es la empresaria bogotana de 47 aos de edad que aparece en negocios de lex Saab presunto testaf
1;RT PCultural Origen y funciones del Congreso Un viaje a los cimientos de la democracia y el la vida poltica romana Por jhonflorezj
-1;RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e
-1;RT carlosa50084674 PedroKonductaz pronto LA PESADILLAliliantintori har su trabajo en Chile Ecuador Brasil Colombia
1;RT ASCUN1 EventosUniversidades UninorteCO ser la anfitriona del ltimo gran evento internacional del ao sobre el proceso de justici
0;As fue que el Congreso peruano destituy al presidente Martn Vizcarracolombia
1;En encontrars todos nuestros puntos de ventas en Colombia Mxico Panam y Venezuela
1;RT EjercitoCAAID Somos un Ejrcito comprometido con todas las regiones de Colombia En esta edicin de nuestra RevistaEjrcito conozca
0;RT Alexand64216517 latropadelche edhcuba CuervoNica CIPICuba RedComunismo ChilenosConCuba siempreconcuba Montesinos2010 MRMaurer
-1;RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e
1;Feliciano el presidente JoeBiden y su vicepresidenta KamalaHarris acabarn con el genocidio institucional que
1;Para vivir para tener hijos para estudiar y para trabajar entre otras cosas Colombia
0;RT LucasVa1976 latropadelche DavidCuba2020 edhcuba CuervoNica CIPICuba RedComunismo ChilenosConCuba siempreconcuba Montesinos201
-1;RT ecotalvora diplomacia chavista canciller d Maduro introduce a sus empleados a palacio presidencial en LaPaz Bolivia para gritarl
0;RT ArgenFobal Qatar2022 Eliminatorias ConmebolPrograma Fecha 03VamosArgentina Bolivia Brasil Chile Colombia Ecuador Paraguay
-1;RT carlosa50084674 PedroKonductaz pronto LA PESADILLAliliantintori har su trabajo en Chile Ecuador Brasil Colombia
0;RT AryaStarkVE DulceMTostaR lfvillarroel jotavino KhintiIa arturote8 coromotina77 2WhistleBlower guarimbamia LizSalanderUS D
-1;RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e
-1;RT elICTJ NOTICIAS Qu consecuencias podra sufrir Colombia en la Corte Penal Internacional si el gobierno eliminara a la JEPColo
0;RT Shadowsthrone Desde Las Tinieblas Radio 3SpectralTales BlackMetal ColombiaUniversalTheory MetalGotico
0;RT Shadowsthrone Desde Las Tinieblas Radio 3SpectralTales BlackMetal ColombiaUniversalTheory MetalGotico
0;RT Shadowsthrone Desde Las Tinieblas Radio 3SpectralTales BlackMetal ColombiaUniversalTheory MetalGotico
0;RT Shadowsthrone Desde Las Tinieblas Radio 3SpectralTales BlackMetal ColombiaUniversalTheory MetalGotico
0;RT Shadowsthrone Desde Las Tinieblas Radio 3SpectralTales BlackMetal ColombiaUniversalTheory MetalGotico
0;RT Shadowsthrone Desde Las Tinieblas Radio 3SpectralTales BlackMetal ColombiaUniversalTheory MetalGotico
0;RT Shadowsthrone Desde Las Tinieblas Radio 3SpectralTales BlackMetal ColombiaUniversalTheory MetalGotico
0;Desde Las Tinieblas Radio 3SpectralTales BlackMetal ColombiaUniversalTheory
1;Somos un Ejrcito comprometido con todas las regiones de Colombia En esta edicin de nuestra RevistaEjrcito con
-1;En la seleccin Colombia se report un caso de coronavirus Se trata del entrenador de arqueros Des Mc Aleenan E
-1;RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e
-1;RT MoVidaCol En Colombia el MinDefensa CarlosHolmesTru an nos debe explicaciones por el asesinato de 14 personas a manos de agentes de
0;RT DayronSandoval Siempre parece imposible hasta que se hace Nelson MandelaINSTAGRAMFACEBOOK
0;RT FabioASays Excelente la conversacion con la senadora PaolaHolguin una grande del Uribismo en Colombia gracias senadora 3324 pers
1;RT Acsendo Estamos entre las 100 mejores startups de Colombia segn forbescolombia EndeavorCol InnpulsaCol entre otros fondos d
-1;RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e
0;RT Alexand64216517 latropadelche edhcuba CuervoNica CIPICuba RedComunismo ChilenosConCuba siempreconcuba Montesinos2010 MRMaurer
0;RT ValoraAnalitik AMPLIACIONAs quedaron precios de la gasolina y el acpm en Colombia en las principales ciudades MinEnergiaCo
-1;RT MoVidaCol En Colombia el MinDefensa CarlosHolmesTru an nos debe explicaciones por el asesinato de 14 personas a manos de agentes de
0;Para el prximo proyecto de nuestro grupo de teatro necesitamos relatos sobre tropeles as que escrbanos que recu
1;RT DayronSandoval Gracias por ser parte de su imagenEscuela Nacional de Instructores hola Sena Bucaramanga Colombia youtubers htt
-1;RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e
-1;RT miastrofutbol EL BARCELONA ENCAJALos dirigidos por Koeman golearon al Betis con un Messi que entr a cambiar el partido Todas las c
1;Colombia uno de los pases con ms privilegios para el uso de energa solar Durante el da el panel detecta au
-1;RT pierrealee Les pido ver el video que comparto y hacerlo viral no es Venezuela la clase poltica tradicional nos condena a la desigu
-1;RT ElPitazoTV Colombia Conoce quin es la empresaria bogotana de 47 aos de edad que aparece en negocios de lex Saab presunto testaf
-1;RT ellamararodrig1 ColombiaDedicado para todos nuestros hermanos colombianos que los pidieron que cuando vengaduquePARAMILITAR a Bol
0;RT jhontxu Si no lo pudiste escuchar en vivo aqu esta el podcast del Resumen de las noticias econmicas del da Noviembre 9Spotify ht
-1;RT InstitutoHugoCH Te invitamos a leer la carta Es mentira que te fuiste de Juliana Rodrguez proveniente de Bogota Colombia Premi
0;RT PaisajeCol Nia Kogi de la Sierra Nevada de Santa MartaColombia
1;No podemos bajar la guardia En pie de lucha contra el COVID19 Hoy 9 de noviembre el ReporteCOVID19 deja las
-1;RT ElPitazoTV Colombia Conoce quin es la empresaria bogotana de 47 aos de edad que aparece en negocios de lex Saab presunto testaf
-1;RT ElUniversalCtg Colombia Francisco Santos anunci que interpondr en contra de su primo una denuncia por injuria y calumnia
1;Seguimos enviando muchos zapatos bonitos a toda Colombia copra fcily segura en muestra web
-1;RT FdoQuijano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en el Co
-1;OlimpoMartinez2 lo peor es que la ignorancia les permite hacer creer que piensan en los colombianos pero en reali
-1;RT ElPitazoTV Colombia Conoce quin es la empresaria bogotana de 47 aos de edad que aparece en negocios de lex Saab presunto testaf
-1;RT ElPitazoTV Colombia Conoce quin es la empresaria bogotana de 47 aos de edad que aparece en negocios de lex Saab presunto testaf
-1;RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e
-1;Sincelejo Sucre 3 muertos y 56 nuevos contagios por Coronavirus para lunes 9 de noviembre segn Minsalud
-1;RT 1Yasminvelasco Colombia Juez exige a Claudia Lpez borrar publicaciones sobre venezolanos y dar disculpas pblicas ENMundo https
-1;RT ChalecosAmarill En Bolivia ayer para el NARCODICTADOR de Colombia no fue un gran da La misma suerte que tu Mentor el Matarif
-1;Colombia Conoce quin es la empresaria bogotana de 47 aos de edad que aparece en negocios de lex Saab presunt
0;RT FabioASays Excelente la conversacion con la senadora PaolaHolguin una grande del Uribismo en Colombia gracias senadora 3324 pers
-1;Migracin Colombia dijo que sera un ejercicio irresponsable abrir los pasos fronterizos y hacer colapsar el si
-1;RT AnalisisUrbano NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue en e
0;RT FabioASays Excelente la conversacion con la senadora PaolaHolguin una grande del Uribismo en Colombia gracias senadora 3324 pers
0;Trending Topic Colombia 9112020 22001 Per2 PasionDeGavilanes3 PowerYourDreams4 XboxSeriesX5
-1;RT ChalecosAmarill En Colombia Bueno ya lo dijo abiertamente el SubPresidente Ivn Duque Matarife
-1;RT cimanewsdigital Ccuta Las lluvias tambin han afectado parte de Colombia El fin de semana se viraliz un video del momento en
-1;NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue
-1;RT FsJsPsL 12 La apostasa de los fieles de la Iglesia es la razn por la cual los desequilibrios la violencia social las revu
-1;RT JoseRozoL Colombia Juez exige a Claudia Lpez borrar publicaciones sobre venezolanos y disculpas pblicas
0;RT Alexand64216517 latropadelche edhcuba CuervoNica CIPICuba RedComunismo ChilenosConCuba siempreconcuba Montesinos2010 MRMaurer
-1;NuevaMasacre ATENCION Tmesis Antioquia Colombia Atencin Urgente Una nueva masacre esta vez fue
0;Por Dios que est semana Juan Reyes le d OTRA PALIZA a Don Fernandito de Escandn Colombia entera lo agrad
0;RT FabioASays Excelente la conversacion con la senadora PaolaHolguin una grande del Uribismo en Colombia gracias senadora 3324 pers
1;Colombia Colombia tiene su primer equipo profesional de rugby Ac el link para que leas la nota
-1;RT ellamararodrig1 ColombiaDedicado para todos nuestros hermanos colombianos que los pidieron que cuando vengaduquePARAMILITAR a Bol
0;RT PaisajeCol Nia Kogi de la Sierra Nevada de Santa MartaColombia
0;RT PaisajeCol Nia Kogi de la Sierra Nevada de Santa MartaColombia
-1;RT ChalecosAmarill En Bolivia ayer para el NARCODICTADOR de Colombia no fue un gran da La misma suerte que tu Mentor el Matarif
-1;RT 1Yasminvelasco Colombia Juez exige a Claudia Lpez borrar publicaciones sobre venezolanos y dar disculpas pblicas ENMundo https
0;RT elkal1fa NoiseGTOnlieFest2020Sbado 14 de Noviembre 300PM Hora Centroamrica guatemala uruguay elsalvador colombia
-1;RT JennDa Sabas que En la actualidad hay1302especies amenazadas es decir estn cerca de extinguirse si no las preservamos Tri
0;RT PaisajeCol Nia Kogi de la Sierra Nevada de Santa MartaColombia
-1;RT teleSURtv Serie de conversaciones interceptadas a narcotraficantes de Colombia por autoridades estadounidenses refirieron sobre una
-1;RT ChalecosAmarill En Colombia Bueno ya lo dijo abiertamente el SubPresidente Ivn Duque Matarife
-1;El centro democrtico es un partido cagalera Se arrodillan y cambian de bando como cambiar de ropa No tienen prin
